model,layer_group,adult_domain_jsd_librispeech_yodas,adult_child_jsd_librispeech_myst,adult_child_jsd_yodas_myst,adult_child_mean_jsd,adult_child_to_adult_domain_ratio
adult_moe,all_layers,0.0008093084989992782,0.0009913166137643732,0.0008081558672342399,0.0008997362404993066,1.1117345753959629
adult_moe,early_peak_L4_L5,0.0005894016051490245,0.0022385046845805,0.000983923541387239,0.0016112141129838694,2.733643917675605
adult_moe,late_peak_L13_L14,0.0005465137939181751,0.0006531355436360348,0.0003164282125793207,0.00048478187810767776,0.8870441761992562
child_moe_lb_off,all_layers,0.0018923586220152963,0.0035233958066418804,0.0013637814775274812,0.0024435886420846806,1.291292577240113
child_moe_lb_off,early_peak_L4_L5,0.0013557611022901042,0.0049586134258279456,0.0016288973329502165,0.003293755379389081,2.429451157600985
child_moe_lb_off,late_peak_L13_L14,0.0026141100577173246,0.006700506021141054,0.0014080706998135712,0.004054288360477313,1.550924892587564
child_moe_lb_on,all_layers,0.0021364624560589137,0.0036207973781652546,0.0013179906496014514,0.002469394013883353,1.1558330954425433
child_moe_lb_on,early_peak_L4_L5,0.001205013150451267,0.005277169655581019,0.0017207783176263806,0.0034989739866036996,2.903681163390926
child_moe_lb_on,late_peak_L13_L14,0.0032954867356213705,0.007390017358815866,0.0011953483804883923,0.004292682869652129,1.3025944918096402
